Branch Name,Address,Telephone ,Postal Code
Agincourt ,155 Bonis Ave,(416) 396-8943,M1T 3W6
Albert Campbell ,496 Birchmount Rd,(416) 396-8890,M1K 1N8
Albion,1515 Albion Rd,(416) 394-5170,M9V 1B2
Alderwood,2 Orianna Dr,(416) 394-5310,M8W 4Y1
Amesbury Park,1565 Lawrence Ave W,(416) 395-5420,M6L 1A8
Annette Street,145 Annette St.,(416) 393-7692,M6P 1P3
Armour Heights,2140 Avenue Rd ,(416) 395-5430,M5M 4M7
Barbara Frum,20 Covington Rd,(416) 395-5440,M6A 3C1
Bayview,2901 Bayview Ave ,(416) 395-5460,M2K 1E6
Beaches,2161 Queen St E,(416) 393-7703,M4L 1J1
Bendale,1515 Danforth Rd,(416) 396-8910,M1J 1H5
Black Creek,"1700 Wilson Ave, Unit 63-64",(416) 395-5470,M3L 1B2
Bloor Gladstone,1101 Bloor St W,(416) 393-7674,M6H 1M7
Brentwood,36 Brentwood Rd N,(416) 394-5240,M8X 2B5
Bridlewood,2900 Warden Ave ,(416) 396-8960,M1W 2S8
Brookbanks,210 Brookbanks Dr,(416) 395-5480,M3A 2T8
Burrows Hall,1081 Progress Ave,(416) 396-8740,M1B 5Z6
Cedarbrae,545 Markham Rd,(416) 396-8850,M1H 2A1
Centennial,578 Finch Ave W,(416) 395-5490,M2R 1N7
City Hall,100 Queen St W,(416) 393-7650,M5H 2N3
Cliffcrest,3017 Kingston Rd,(416) 396-8916,M1M 1P1
College Shaw,766 College St,(416) 393-7668,M6G 1C4
Danforth Coxwell,1675 Danforth Ave,(416) 393-7783,M4C 5P2
Davenport,1246 Shaw St,(416) 393-7732,M6G 3P1
Dawes Road,416 Dawes Rd ,(416) 396-3820,M4B 2E8
Deer Park,40 St. Clair Ave E,(416) 393-7657,M4T 1M9
Don Mills,888 Lawrence Ave E,(416) 395-5710,M3C 1P6
Downsview,2793 Keele St,(416) 395-5720,M3M 2G3
Dufferin St. Clair,1625 Dufferin St,(416) 393-7712,M6H 3L9
Eatonville,430 Burnhamthorpe Rd,(416) 394-5270,M9B 2B1
Eglinton Square,"1 Eglinton Sq, Unit 126 ",(416) 396-8920,M1L 2K1
Elmbrook Park,2 Elmbrook Cr,(416) 394-5290,M9C 5B4
Evelyn Gregory,120 Trowell Ave,(416) 394-1006,M6M 1L7
Fairview,35 Fairview Mall Dr,(416) 395-5750,M2J 4S4
Flemingdon Park,29 St. Dennis Dr ,(416) 395-5820,M3C 3J3
Forest Hill,700 Eglinton Ave W,(416) 393-7706,M5N 1B9
Fort York,190 Fort York Blvd,(416) 393-6240,M5V 0E7 
Gerrard Ashdale,1432 Gerrard St E,(416) 393-7717,M4L 1Z6
Goldhawk Park,295 Alton Towers Cir,(416) 396-8964,M1V 4P1
Guildwood,123 Guildwood Pkwy ,(416) 396-8872,M1E 4V2
High Park,228 Roncesvalles Ave,(416) 393-7671,M6R 2L7
Highland Creek,3550 Ellesmere Rd,(416) 396-8876,M1C 3Z2
Hillcrest,5801 Leslie St,(416) 395-5830,M2H 1J8
